Original File,Destination File,Bank Type,Status,Processed,Verified
dxweb (10).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC - 0749 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (10).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC - 0749 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (11).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC OPERATING - 0706 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (11).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC OPERATING - 0706 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (12).pdf,BankUnited\2025-04\Bank United ARCTARIS EASTERN DEVELOPMENT HOUSING LLC FUND OPERATING - 7400 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (12).pdf,BankUnited\2025-04\Bank United ARCTARIS EASTERN DEVELOPMENT HOUSING LLC FUND OPERATING - 7400 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (14).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC COLLATERAL - 8190 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (14).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC COLLATERAL - 8190 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (16).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC OPER - 3008 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (16).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC OPER - 3008 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (18).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 MM - 8239 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (18).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 MM - 8239 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (19).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 OPER - 8220 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (19).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 OPER - 8220 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (20).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 COLL - 8441 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (20).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 COLL - 8441 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (21).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 LLC - 8425 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (21).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 LLC - 8425 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (22).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 OPER - 8387 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (22).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 OPER - 8387 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (23).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 COLL - 8530 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (23).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 COLL - 8530 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (24).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 MGMT - 8514 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (24).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 MGMT - 8514 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (25).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 OPER - 8484 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (25).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 OPER - 8484 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (26).pdf,BankUnited\2025-04\Bank United ARCTARIS PRODUCT DEVELOP OPERATING - 5785 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (26).pdf,BankUnited\2025-04\Bank United ARCTARIS PRODUCT DEVELOP OPERATING - 5785 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (28).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC - 6075 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (28).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC - 6075 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (29).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC OPER - 6067 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (29).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC OPER - 6067 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (30).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV OPERATING - 6640 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (30).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV OPERATING - 6640 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (31).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV SAVINGS - 4120 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (31).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV SAVINGS - 4120 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (32).pdf,BankUnited\2025-04\Bank United MID ATLANTIC INCLUSIVE HOUSING LLC - 6059 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (32).pdf,BankUnited\2025-04\Bank United MID ATLANTIC INCLUSIVE HOUSING LLC - 6059 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (34).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT FUND LP - 7076 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (34).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT FUND LP - 7076 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (35).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC - 1396 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (35).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC - 1396 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (8).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC - 0579 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (8).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC - 0579 April 2025 Statement.pdf,BankUnited,Processed,,
dxweb (9).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC OPERATING - 0560 April 2025 Statement.pdf,BankUnited,Would process,,
dxweb (9).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC OPERATING - 0560 April 2025 Statement.pdf,BankUnited,Processed,,
Berkshire Bank - Arctaris OZ Fund 2022 December 2022.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
Berkshire Bank - Arctaris OZ Fund 2022 December 2022.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Processed,,
Berkshire MM 2020 07.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
Berkshire MM 2020 07.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430_1.pdf,Berkshire,Processed,,
Berkshire MM 2020 08.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
Berkshire MM 2020 08.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430_2.pdf,Berkshire,Processed,,
Berkshire MM 2020 09.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
Berkshire MM 2020 09.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430_3.pdf,Berkshire,Processed,,
Berkshire MM 2020 12.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
Berkshire MM 2020 12.21.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430_4.pdf,Berkshire,Processed,,
Berkshire MMK 2019 _06_30_2023.pdf,Berkshire\2023-06\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20230601.pdf,Berkshire,Would process,,
Berkshire MMK 2019 _06_30_2023.pdf,Berkshire\2023-06\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20230601.pdf,Berkshire,Processed,,
Berkshire MMK 2019_05_31_2023.pdf,Berkshire\2023-05\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230501.pdf,Berkshire,Would process,,
Berkshire MMK 2019_05_31_2023.pdf,Berkshire\2023-05\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230501.pdf,Berkshire,Processed,,
Berkshire MMK 2019_07_31_2023.pdf,Berkshire\2023-07\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20230701.pdf,Berkshire,Would process,,
Berkshire MMK 2019_07_31_2023.pdf,Berkshire\2023-07\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20230701.pdf,Berkshire,Processed,,
Berkshire MMK 2022_07_31_2023.pdf,Berkshire\2023-07\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230701.pdf,Berkshire,Would process,,
Berkshire MMK 2022_07_31_2023.pdf,Berkshire\2023-07\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230701.pdf,Berkshire,Processed,,
Berkshire MMK 2022_08_30_2023.pdf,Berkshire\2023-08\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230801.pdf,Berkshire,Would process,,
Berkshire MMK 2022_08_30_2023.pdf,Berkshire\2023-08\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230801.pdf,Berkshire,Processed,,
Berkshire MMK 2022_09_30_2023.pdf,Berkshire\2023-09\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230901.pdf,Berkshire,Would process,,
Berkshire MMK 2022_09_30_2023.pdf,Berkshire\2023-09\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20230901.pdf,Berkshire,Processed,,
Berkshire MMK 2022_10_31_2023.pdf,Berkshire\2023-10\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20231001.pdf,Berkshire,Would process,,
Berkshire MMK 2022_10_31_2023.pdf,Berkshire\2023-10\0000-ARCTARIS OPPORTUNITY ZONE FUND 2022 LLC-20231001.pdf,Berkshire,Processed,,
BerkshireBank Arctaris Income Fund LP.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430.pdf,Berkshire,Would process,,
BerkshireBank Arctaris Income Fund LP.pdf,Berkshire\2025-04\0000-ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC-20250430_5.pdf,Berkshire,Processed,,
